year,hungarian_books,hungarian_articles,foreign_language_books,foreign_language_articles
1990,1266,13217,396,9186
1991,1185,12841,377,9666
1992,1226,13637,504,9792
1993,1396,13321,513,10300
1994,1655,13764,603,10402
1995,1651,12808,516,10102
1996,1735,13979,475,11464
1997,2411,15429,579,11569
1998,2780,17437,775,12332
1999,2828,16810,799,12891
2000,3428,19263,850,13722
2001,3457,20590,936,13607
2002,3888,21472,1018,13950
2003,3835,20441,1024,14154
2004,4002,19814,970,13221
2005,3796,19510,949,13902
2006,4337,18856,1091,13703
2007,6026,17402,1720,13799
2008,5975,16054,2234,13628
2009,6484,16466,2326,13079
2010,7052,14918,2584,14225
2011,7476,15040,3082,14282
2012,7724,13008,3389,14806
2013,7356,12035,3241,15215
2014,7716,11718,3406,15803
2015,7363,11106,3135,14703
2016,6824,9707,3047,14872
